定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
13:20,13:20,東京,,D9,X,13.0:26,0
13:20,,仙台,,着陸,S,13:20.0,0
13:25,13:25,沖縄/那覇,,D12,S,13.0:31,0
13:25,,東京,,着陸,X,13:25.0,0
13:25,,福江,,着陸,X,13:27.0,2
13:35,,名古屋/中部,,着陸,X,13:35.0,0
13:40,,札幌/新千歳,,着陸,S,13:40.0,0
13:40,,東京,,着陸,X,13:40.0,0
13:45,,台北/桃園,,着陸,X,13:45.0,0
13:50,13:50,沖縄/那覇,,D11,S,13.0:56,0
13:50,13:50,東京,,D5,X,13.0:56,0
13:50,,屋久島,,着陸,X,13.0:54.1,5
13:55,13:55,仙台,,D11,S,14.0:01,0
13:55,,東京,,着陸,X,13.0:56.1,2
13:55,,対馬,,着陸,X,13.0:58.1,4
14:00,14:00,関西,,D2,S,14.0:05,0
14:00,14:00,札幌/新千歳,,D4,X,14.0:06,0
14:00,,松山,,着陸,S,14.0:3.6,4
14:05,14:05,対馬,,D81,X,14.0:14,0
14:05,14:05,東京,,D7,S,14.0:10,0
14:05,,新潟,,着陸,S,14.0:8.316666666666666,4
14:05,,東京,,着陸,S,14.0:10.316666666666666,6
14:05,,プサン,,着陸,X,14.0:12.05,8
14:15,14:15,東京,,D10,S,14.0:21,0
14:15,14:15,東京,,D6,X,14.0:20,0
14:15,14:15,香港,,I53,X,14.0:23,0
14:15,,沖縄/那覇,,着陸,S,14.0:19.05,5
14:20,,大阪,,着陸,S,14.0:21.05,2
14:25,14:25,札幌/新千歳,,D8,X,14.0:30,0
14:25,14:25,小松,,D82,S,14.0:33,0
14:25,,東京,,着陸,X,14.0:28.916666666666668,4
14:25,,成田,,着陸,X,14.0:30.916666666666668,6
14:30,14:31,宮崎,,D6,S,14.0:35,1
14:30,14:30,鹿児島,,D81,X,14.0:39,0
14:30,,マニラ,,着陸,S,14.0:33.43333333333333,4
14:30,,東京,,着陸,S,14.0:35.43333333333333,6
14:40,14:40,新潟,,D3,X,14.0:46,0
14:45,14:45,名古屋/中部,,D1,S,14.0:50,0
14:45,14:45,東京,,D1,X,14.0:51,0
14:45,14:45,台北/桃園,,I56,S,14.0:54,0
14:55,14:55,プサン,,I54,X,15.0:03,0
14:55,,マニラ,,着陸,S,14:55.0,0
14:55,,東京,,着陸,S,14:57.0,2
15:00,15:00,沖縄/那覇,,D11,S,15.0:06,0
15:00,15:00,東京,,D9,X,15.0:06,0
15:00,15:02,大阪,,D11,S,15.0:08,2
15:00,15:00,宮崎,,D82,X,15.0:09,0
15:00,,小松,,着陸,S,15.0:6.3,7
15:00,,宮崎,,着陸,X,15.0:7.05,8
15:00,,沖縄/那覇,,着陸,S,15.0:8.3,9
15:05,,名古屋/中部,,着陸,X,15.0:9.05,5
15:10,15:10,成田,,D4,S,15.0:15,0
15:10,15:10,東京,,D2,X,15.0:16,0
15:10,,東京,,着陸,S,15.0:13.333333333333334,4
15:15,,名古屋/中部,,着陸,X,15:15.0,0
15:20,,松山,,着陸,S,15:20.0,0
15:25,15:25,東京,,D7,X,15.0:30,0
15:30,15:30,マニラ,,I55,S,15.0:39,0
15:35,15:35,宮崎,,D10,X,15.0:41,0
15:35,,東京,,着陸,S,15.0:37.36666666666667,3
15:40,,東京,,着陸,S,15:40.0,0
15:45,,対馬,,着陸,X,15:45.0,0
15:50,15:50,大阪,,D11,S,15.0:56,0
15:50,15:50,沖縄/那覇,,D6,X,15.0:55,0
15:50,,東京,,着陸,X,15.0:53.95,4
15:55,15:55,対馬,,D81,S,16.0:03,0
15:55,15:55,名古屋/中部,,D1,X,16.0:01,0
15:55,15:58,東京,,D6,X,16.0:03,3
15:55,15:57,マニラ,,I53,S,16.0:05,2
15:55,,沖縄/那覇,,着陸,X,16.0:1.6666666666666667,7
16:00,16:02,名古屋/中部,,D5,S,16.0:07,2
16:00,,信州松本,,着陸,X,16.0:3.6666666666666665,4
16:00,,名古屋/中部,,着陸,S,16.0:5.433333333333334,6
16:05,,沖縄/那覇,,着陸,X,16.0:5.666666666666667,1
16:10,16:10,東京,,D8,S,16.0:15,0
16:10,,東京,,着陸,X,16:10.0,0
16:10,,いわて花巻,,着陸,X,16:12.0,2
16:15,16:15,大阪,,D81,S,16.0:23,0
16:15,,成田,,着陸,X,16:15.0,0
16:20,16:20,東京,,D9,X,16.0:26,0
16:20,16:20,東京,,D3,S,16.0:25,0
16:20,,大阪,,着陸,S,16.0:23.466666666666665,4
16:20,,沖縄/那覇,,着陸,X,16.0:24.466666666666665,5
16:25,,天草,,着陸,S,16.0:25.466666666666665,1
16:30,16:30,名古屋/小牧,,D2,X,16.0:36,0
16:30,16:30,仙台,,D82,S,16.0:38,0
16:35,,沖縄/那覇,,着陸,X,16:35.0,0
16:40,,宮崎,,着陸,S,16:40.0,0
16:45,16:45,沖縄/那覇,,D6,X,16.0:50,0
16:45,16:45,松山,,D11,S,16.0:51,0
16:45,,ソウル/仁川,,着陸,X,16.0:48.95,4
16:45,,札幌/新千歳,,着陸,S,16.0:49.3,5
16:50,,東京,,着陸,X,16.0:50.95,1
16:50,,鹿児島,,着陸,S,16.0:51.3,2
16:55,16:55,天草,,D81,X,17.0:04,0
16:55,16:55,沖縄/那覇,,D1,S,17.0:00,0
16:55,16:58,東京,,D7,S,17.0:02,3
16:55,,仙台,,着陸,S,17.0:0.8,6
17:00,17:00,福江,,D82,X,17.0:09,0
17:00,17:02,成田,,D4,S,17.0:06,2
17:00,17:03,沖縄/那覇,,D1,S,17.0:08,3
17:00,,ソウル/仁川,,着陸,S,17.0:6.8,7
17:00,,札幌/新千歳,,着陸,X,17.0:7.05,8
17:00,,東京,,着陸,S,17.0:8.8,9
17:00,,東京,,着陸,X,17.0:9.05,10
17:05,17:09,東京,,D10,S,17.0:14,4
17:05,,宮崎,,着陸,X,17.0:11.05,7
17:10,,石垣,,着陸,S,17.0:12.8,3
17:15,17:15,高知,,D12,X,17.0:22,0
17:15,,関西,,着陸,S,17:15.0,0
17:20,17:20,沖縄/那覇,,D5,S,17.0:25,0
17:25,17:25,新潟,,D81,X,17.0:34,0
17:30,17:30,東京,,D8,S,17.0:35,0
17:30,17:30,出雲,,D81,X,17.0:39,0
17:35,17:35,ソウル/仁川,,I54,S,17.0:44,0
17:35,,対馬,,着陸,X,17.0:37.05,3
17:40,17:40,小松,,D82,X,17.0:49,0
17:40,17:41,東京,,D3,S,17.0:46,1
17:40,,成田,,着陸,S,17.0:44.13333333333333,5
17:45,17:45,大阪,,D11,S,17.0:51,0
