ŽžŠÔ,”òs‹@,ŠŠ‘–˜H
13:20.0,’…—¤,34L
13:20.0,D9,34L
13:27.2,’…—¤,34R
13:28.2,’…—¤,34R
13:25.0,D12,34R
13:35.0,’…—¤,34L
13:40.0,’…—¤,34R
13:40.0,’…—¤,34L
13:45.0,’…—¤,34R
13:50.0,’…—¤,34L
13:50.0,D11,34R
13:50.0,D5,34L
14:0.8,’…—¤,34R
14:1.8,’…—¤,34R
13:55.0,D11,34R
14:2.8,’…—¤,34L
14:00.0,D2,34L
14:00.0,D4,34R
14:12.6,’…—¤,34R
14:13.3,’…—¤,34L
14:13.6,’…—¤,34R
14:06.7,D81,34L
14:05.0,D7,34R
14:15.3,’…—¤,34L
14:15.0,D10,34L
14:15.0,D6,34R
14:19.5,I53,34L
14:27.2,’…—¤,34R
14:27.5,’…—¤,34L
14:28.2,’…—¤,34R
14:25.0,D8,34L
14:25.0,D82,34R
14:33.0,’…—¤,34R
14:34.0,’…—¤,34R
14:30.0,D6,34R
14:30.0,D81,34L
14:40.0,D3,34L
14:45.0,D1,34R
14:45.0,D1,34L
14:50.2,I56,34R
14:58.4,’…—¤,34L
14:59.0,’…—¤,34R
14:55.0,I54,34L
15:0.0,’…—¤,34R
15:1.0,’…—¤,34R
15:2.0,’…—¤,34R
15:00.0,D11,34L
15:00.0,D9,34R
15:01.0,D11,34L
15:04.3,D82,34R
15:12.2,’…—¤,34L
15:12.2,’…—¤,34R
15:10.0,D4,34L
15:10.0,D2,34R
15:22.8,’…—¤,34R
15:23.0,’…—¤,34L
15:25.0,D7,34R
15:30.0,I55,34L
15:37.0,’…—¤,34R
15:35.0,D10,34L
15:40.0,’…—¤,34R
15:45.0,’…—¤,34R
15:50.0,’…—¤,34R
15:50.0,D11,34L
15:50.0,D6,34R
16:1.2,’…—¤,34L
15:55.0,D81,34L
15:55.0,D1,34R
15:55.0,D6,34L
16:00.7,I53,34L
16:8.0,’…—¤,34R
16:8.7,’…—¤,34L
16:00.0,D5,34R
16:9.7,’…—¤,34L
16:10.7,’…—¤,34L
16:11.7,’…—¤,34L
16:10.0,D8,34R
16:15.0,’…—¤,34L
16:15.0,D81,34L
16:21.8,’…—¤,34R
16:22.8,’…—¤,34R
16:20.0,D9,34L
16:20.0,D3,34R
16:31.7,’…—¤,34L
16:30.0,D2,34R
16:30.0,D82,34L
16:38.5,’…—¤,34L
16:40.0,’…—¤,34L
16:45.0,’…—¤,34L
16:45.0,’…—¤,34R
16:45.0,D6,34R
16:45.0,D11,34L
16:56.2,’…—¤,34L
16:57.2,’…—¤,34L
16:57.2,’…—¤,34R
16:55.0,D81,34L
16:55.0,D1,34R
16:55.0,D7,34L
17:7.5,’…—¤,34L
17:8.0,’…—¤,34R
17:8.5,’…—¤,34L
17:9.0,’…—¤,34R
17:02.0,D82,34L
17:00.0,D4,34R
17:00.0,D1,34L
17:12.6,’…—¤,34R
17:05.0,D10,34L
17:13.6,’…—¤,34R
17:15.0,’…—¤,34R
17:15.0,D12,34R
17:20.0,D5,34L
17:25.0,D81,34R
17:30.0,D8,34L
17:30.0,D81,34R
17:38.2,’…—¤,34R
17:35.0,I54,34R
17:42.2,’…—¤,34L
17:40.0,D82,34L
17:40.0,D3,34R
17:48.5,’…—¤,34L
17:49.5,’…—¤,34L
17:45.0,D11,34L
17:52.7,’…—¤,34R
17:53.7,’…—¤,34R
17:50.0,D9,34R
17:56.2,’…—¤,34L
17:57.2,’…—¤,34L
17:55.0,D1,34L
18:4.2,’…—¤,16L
18:5.2,’…—¤,16L
18:6.2,’…—¤,16L
18:7.2,’…—¤,16L
18:04.8,D2,16L
18:06.0,D6,16L
18:04.1,I53,16L
18:11.2,’…—¤,16L
18:11.4,’…—¤,16R
18:10.0,D81,16L
18:15.0,’…—¤,16R
18:20.0,’…—¤,16R
18:20.0,’…—¤,16L
18:25.0,’…—¤,16L
18:25.0,D12,16R
18:25.0,D82,16L
18:31.0,’…—¤,16R
18:30.0,D5,16R
18:30.0,D11,16L
18:35.0,D10,16R
18:35.0,D7,16L
18:35.9,D3,16L
18:40.4,’…—¤,16R
18:40.5,’…—¤,16L
18:40.0,D1,16R
18:40.0,D1,16L
18:40.9,D4,16L
18:50.0,’…—¤,16R
18:55.0,’…—¤,16L
18:55.0,D6,16R
19:0.0,’…—¤,16L
19:0.0,’…—¤,16R
19:1.0,’…—¤,16L
19:00.0,D82,16R
19:00.0,D11,16L
19:05.0,D8,16L
19:10.0,’…—¤,16R
19:10.0,D81,16L
19:10.0,D6,16R
19:15.0,D9,16R
19:20.0,’…—¤,16L
19:20.2,’…—¤,16R
19:20.0,D11,16L
19:20.0,D2,16R
19:25.1,’…—¤,16L
19:30.0,D82,16R
19:35.0,’…—¤,16L
19:36.0,’…—¤,16L
19:37.0,’…—¤,16L
19:40.0,’…—¤,16L
19:40.0,’…—¤,16R
19:40.0,D4,16L
19:50.0,’…—¤,16R
19:50.0,D10,16L
19:55.0,’…—¤,16R
19:55.0,D1,16L
20:0.0,’…—¤,16R
20:0.0,’…—¤,16L
20:1.0,’…—¤,16L
20:00.0,D7,16R
20:00.0,D5,16L
20:5.0,’…—¤,16L
20:05.0,D2,16R
20:10.0,D8,16L
20:10.0,D11,16R
20:15.0,D11,16L
20:20.0,’…—¤,16R
20:20.0,D1,16L
20:25.0,’…—¤,16R
20:25.0,’…—¤,16L
20:26.0,’…—¤,16L
20:25.0,D3,16R
20:30.0,’…—¤,16L
20:30.3,’…—¤,16R
20:35.0,’…—¤,16L
20:40.0,D4,16R
20:50.0,’…—¤,16L
20:50.0,D9,16R
20:55.0,’…—¤,16L
20:55.2,’…—¤,16R
20:56.0,’…—¤,16L
20:55.0,D12,16R
21:0.0,’…—¤,16L
21:1.0,’…—¤,16R
21:00.0,D6,16L
21:05.0,D5,16R
21:10.0,’…—¤,16L
21:10.0,’…—¤,16R
21:10.0,D1,16L
21:15.0,’…—¤,16R
21:15.0,D11,16L
21:20.0,’…—¤,16R
21:20.0,D2,16L
21:25.0,’…—¤,16R
21:25.0,’…—¤,16L
21:26.0,’…—¤,16L
21:30.0,’…—¤,16R
21:30.0,’…—¤,16L
21:31.0,’…—¤,16L
21:31.0,’…—¤,16R
21:32.0,’…—¤,16L
21:35.0,’…—¤,16R
21:35.0,’…—¤,16L
21:45.0,’…—¤,16L
21:55.0,’…—¤,16R
21:55.0,’…—¤,16L
