定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
11:45,11:45.0,東京,,D8,16R,11:48.6,0
11:45,11:45.0,プサン,,I54,16L,11:51.3,0
11:50,11:50.0,東京,,D11,16R,11:54.6,0
11:50,,宮崎,,着陸,16L,11:52.4,3
11:55,11:55.0,沖縄/那覇,,D2,16L,11:58.4,0
11:55,11:55.0,松山,,D6,16R,11:58.8,0
11:55,,名古屋/小牧,,着陸,16L,11:59.5,5
11:55,,茨城,,着陸,16R,11:59.9,5
12:00,12:00.0,大阪,,D82,16L,12:06.4,0
12:00,12:00.0,東京,,D7,16R,12:04.0,0
12:00,,札幌/新千歳,,着陸,16R,12:05.1,6
12:00,,大阪,,着陸,16R,12:06.1,7
12:00,,東京,,着陸,16R,12:07.1,8
12:05,12:05.0,沖縄/那覇,,D9,16L,12:08.5,0
12:05,12:05.0,ソウル/仁川,,I55,16R,12:10.9,0
12:10,12:10.0,東京,,D3,16L,12:13.5,0
12:10,,出雲,,着陸,16R,12:12.0,2
12:10,,沖縄/那覇,,着陸,16R,12:13.0,3
12:10,,東京,,着陸,16R,12:14.0,4
12:15,,宮崎,,着陸,16L,12:15.0,0
12:20,12:20.0,台北/桃園,,I53,16R,12:25.5,0
12:20,,仙台,,着陸,16L,12:20.0,0
12:25,12:25.0,東京,,D10,16L,12:28.7,0
12:25,12:25.0,石垣,,D1,16R,12:29.1,0
12:25,12:25.0,宮崎,,D82,16L,12:31.4,0
12:25,,東京,,着陸,16R,12:30.2,6
12:30,12:30.0,信州松本,,D5,16R,12:33.6,0
12:30,12:30.0,仙台,,D81,16L,12:36.3,0
12:35,12:35.0,札幌/新千歳,,D12,16R,12:39.9,0
12:35,12:35.0,沖縄/那覇,,D4,16L,12:38.7,0
12:40,12:40.0,ソウル/仁川,,I56,16L,12:46.8,0
12:40,,徳島,,着陸,16R,12:41.0,1
12:50,12:50.0,名古屋/中部,,D81,16R,12:56.9,0
12:50,12:50.0,宮崎,,D11,16L,12:54.0,0
12:50,12:51.9,東京,,D6,16L,12:55.0,2
12:50,,東京,,着陸,16L,12:56.1,7
12:50,,沖縄/那覇,,着陸,16L,12:57.1,8
12:55,12:55.0,沖縄/那覇,,D11,16R,12:59.6,0
13:00,13:00.0,東京,,D8,16L,13:02.9,0
13:00,13:00.0,屋久島,,D81,16R,13:06.9,0
13:05,,沖縄/那覇,,着陸,16L,13:05.0,0
13:10,,東京,,着陸,16L,13:10.0,0
13:10,,札幌/新千歳,,着陸,16R,13:10.0,0
13:15,13:15.0,松山,,D6,16L,13:18.1,0
13:15,,香港,,着陸,16R,13:15.0,0
13:15,,沖縄/那覇,,着陸,16R,13:16.0,1
13:20,13:20.0,東京,,D9,16R,13:24.1,0
13:20,,仙台,,着陸,16L,13:20.0,0
13:25,13:25.0,沖縄/那覇,,D12,16L,13:29.2,0
13:25,,東京,,着陸,16R,13:25.2,1
13:25,,福江,,着陸,16R,13:26.2,2
13:35,,名古屋/中部,,着陸,16R,13:35.0,0
13:40,,札幌/新千歳,,着陸,16L,13:40.0,0
13:40,,東京,,着陸,16R,13:40.0,0
13:45,,台北/桃園,,着陸,16L,13:45.0,0
13:50,13:50.0,沖縄/那覇,,D11,16R,13:54.6,0
13:50,13:50.0,東京,,D5,16L,13:52.9,0
13:50,,屋久島,,着陸,16L,13:54.0,4
13:55,13:55.0,仙台,,D11,16L,13:59.0,0
13:55,,東京,,着陸,16R,13:55.7,1
13:55,,対馬,,着陸,16R,13:56.7,2
14:00,14:00.0,関西,,D2,16R,14:04.1,0
14:00,14:00.0,札幌/新千歳,,D4,16L,14:03.7,0
14:00,,松山,,着陸,16L,14:04.8,5
14:05,14:05.0,対馬,,D81,16R,14:11.9,0
14:05,14:05.0,東京,,D7,16L,14:08.4,0
14:05,,新潟,,着陸,16L,14:09.5,5
14:05,,東京,,着陸,16L,14:10.5,6
14:05,,プサン,,着陸,16L,14:11.5,7
14:15,14:15.0,東京,,D10,16L,14:18.7,0
14:15,14:15.0,東京,,D6,16R,14:18.8,0
14:15,14:15.0,香港,,I53,16L,14:21.1,0
14:15,,沖縄/那覇,,着陸,16R,14:19.9,5
14:20,,大阪,,着陸,16R,14:20.9,1
14:25,14:25.0,札幌/新千歳,,D8,16R,14:28.6,0
14:25,14:25.0,小松,,D82,16L,14:31.4,0
14:25,,東京,,着陸,16R,14:29.7,5
14:25,,成田,,着陸,16R,14:30.7,6
14:30,14:30.0,宮崎,,D6,16R,14:33.8,0
14:30,14:30.0,鹿児島,,D81,16L,14:36.3,0
14:30,,マニラ,,着陸,16R,14:34.9,5
14:30,,東京,,着陸,16R,14:35.9,6
14:40,14:40.0,新潟,,D3,16R,14:44.2,0
14:45,14:45.0,名古屋/中部,,D1,16L,14:48.5,0
14:45,14:45.0,東京,,D1,16R,14:49.1,0
14:45,14:45.0,台北/桃園,,I56,16L,14:51.8,0
14:55,14:55.0,プサン,,I54,16R,15:00.7,0
14:55,,マニラ,,着陸,16L,14:55.0,0
14:55,,東京,,着陸,16L,14:56.0,1
15:00,15:00.0,沖縄/那覇,,D11,16L,15:04.0,0
15:00,15:00.0,東京,,D9,16R,15:04.1,0
15:00,15:01.0,大阪,,D11,16L,15:05.0,1
15:00,15:00.0,宮崎,,D82,16R,15:07.1,0
15:00,,小松,,着陸,16L,15:06.1,7
15:00,,宮崎,,着陸,16L,15:07.1,8
15:00,,沖縄/那覇,,着陸,16L,15:08.1,9
15:05,,名古屋/中部,,着陸,16R,15:08.2,4
15:10,15:10.0,成田,,D4,16L,15:13.7,0
15:10,15:10.0,東京,,D2,16R,15:14.1,0
15:10,,東京,,着陸,16L,15:14.8,5
15:15,,名古屋/中部,,着陸,16R,15:15.2,1
15:20,,松山,,着陸,16L,15:20.0,0
15:25,15:25.0,東京,,D7,16R,15:29.0,0
15:30,15:30.0,マニラ,,I55,16L,15:36.5,0
