定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
14:15,14:15,香港,,I53,S,14:29,0
14:15,,沖縄/那覇,,着陸,X,14:24,9
14:20,,大阪,,着陸,X,14:26,6
14:25,14:25,札幌/新千歳,,D8,X,14:31,0
14:25,14:25,小松,,D82,S,14:36,0
14:25,,東京,,着陸,X,14:33,8
14:25,,成田,,着陸,X,14:35,10
14:30,14:30,宮崎,,D6,X,14:40,0
14:30,14:30,鹿児島,,D81,S,14:44,0
14:30,,マニラ,,着陸,X,14:42,12
14:30,,東京,,着陸,X,14:44,14
14:40,14:40,新潟,,D3,X,14:49,0
14:45,14:45,名古屋/中部,,D1,S,14:50,0
14:45,14:45,東京,,D1,X,14:55,0
14:45,14:45,台北/桃園,,I56,S,14:59,0
14:55,14:55,プサン,,I54,X,15:03,0
14:55,,マニラ,,着陸,S,15:01,6
14:55,,東京,,着陸,S,15:03,8
15:00,15:00,沖縄/那覇,,D11,S,15:08,0
15:00,15:00,東京,,D9,X,15:08,0
15:00,15:00,大阪,,D11,S,15:14,0
15:00,15:00,宮崎,,D82,X,15:16,0
15:00,,小松,,着陸,S,15:16,16
15:00,,宮崎,,着陸,S,15:18,18
15:00,,沖縄/那覇,,着陸,X,15:18,19
15:05,,名古屋/中部,,着陸,S,15:20,15
15:10,15:10,成田,,D4,X,15:24,0
15:10,15:10,東京,,D2,S,15:24,0
15:10,,東京,,着陸,X,15:26,16
15:15,,名古屋/中部,,着陸,S,15:26,11
15:20,,松山,,着陸,X,15:28,8
15:25,15:25,東京,,D7,S,15:30,0
15:30,15:30,マニラ,,I55,X,15:38,0
15:35,15:35,宮崎,,D10,S,15:41,0
15:35,,東京,,着陸,X,15:40,5
15:40,,東京,,着陸,X,15:42,2
15:45,,対馬,,着陸,S,15:45,0
15:50,15:50,大阪,,D11,X,15:56,0
15:50,15:50,沖縄/那覇,,D6,S,15:55,0
15:50,,東京,,着陸,S,15:57,7
15:55,15:55,対馬,,D81,X,16:04,0
15:55,15:55,名古屋/中部,,D1,S,16:02,0
15:55,15:55,東京,,D6,S,16:06,0
15:55,15:55,マニラ,,I53,X,16:12,0
15:55,,沖縄/那覇,,着陸,S,16:08,13
16:00,16:00,名古屋/中部,,D5,S,16:12,0
16:00,,信州松本,,着陸,X,16:14,14
16:00,,名古屋/中部,,着陸,S,16:14,14
16:05,,沖縄/那覇,,着陸,X,16:16,11
16:10,16:10,東京,,D8,S,16:19,0
16:10,,東京,,着陸,X,16:18,8
16:10,,いわて花巻,,着陸,X,16:20,10
16:15,16:15,大阪,,D81,S,16:26,0
16:15,,成田,,着陸,X,16:22,7
16:20,16:20,東京,,D9,X,16:27,0
16:20,16:20,東京,,D3,S,16:31,0
16:20,,大阪,,着陸,X,16:29,9
16:20,,沖縄/那覇,,着陸,X,16:31,11
16:25,,天草,,着陸,S,16:33,8
16:30,16:30,名古屋/小牧,,D2,X,16:37,0
16:30,16:30,仙台,,D82,S,16:40,0
16:35,,沖縄/那覇,,着陸,X,16:39,4
16:40,,宮崎,,着陸,X,16:41,1
16:45,16:45,沖縄/那覇,,D6,S,16:50,0
16:45,16:45,松山,,D11,X,16:51,0
16:45,,ソウル/仁川,,着陸,S,16:52,7
16:45,,札幌/新千歳,,着陸,X,16:53,8
16:50,,東京,,着陸,S,16:54,4
16:50,,鹿児島,,着陸,X,16:55,5
16:55,16:55,天草,,D81,S,17:03,0
16:55,16:55,沖縄/那覇,,D1,X,17:01,0
16:55,16:55,東京,,D7,X,17:06,0
16:55,,仙台,,着陸,S,17:05,10
17:00,17:00,福江,,D82,S,17:12,0
17:00,17:00,成田,,D4,X,17:11,0
17:00,17:00,沖縄/那覇,,D1,X,17:17,0
17:00,,ソウル/仁川,,着陸,S,17:14,14
17:00,,札幌/新千歳,,着陸,S,17:16,16
17:00,,東京,,着陸,S,17:18,18
17:00,,東京,,着陸,X,17:19,19
17:05,17:05,東京,,D10,S,17:23,0
17:05,,宮崎,,着陸,X,17:21,16
17:10,,石垣,,着陸,X,17:23,13
17:15,17:15,高知,,D12,X,17:29,0
17:15,,関西,,着陸,S,17:25,10
17:20,17:20,沖縄/那覇,,D5,S,17:30,0
17:25,17:25,新潟,,D81,X,17:37,0
17:30,17:30,東京,,D8,S,17:35,0
17:30,17:30,出雲,,D81,S,17:42,0
17:35,17:35,ソウル/仁川,,I54,X,17:45,0
17:35,,対馬,,着陸,S,17:44,9
17:40,17:40,小松,,D82,S,17:52,0
17:40,17:40,東京,,D3,X,17:50,0
17:40,,成田,,着陸,X,17:52,12
17:45,17:45,大阪,,D11,S,17:57,0
17:45,,東京,,着陸,X,17:54,9
17:45,,宮崎,,着陸,X,17:56,11
17:50,17:50,東京,,D9,X,18:01,0
17:50,,沖縄/那覇,,着陸,S,17:59,9
17:50,,東京,,着陸,S,18:01,11
